title,company,location,link
Data Scientist 모집,한독약품,서울,https://kr.indeed.com/viewjob?jk=790d6275c9dd7be8
21년 BigData/연구소 경력사원,롯데정보통신,서울 금천구,https://kr.indeed.com/viewjob?jk=b4443754bb4507bb
2021 GEDP (Global Engineering Development Program),GE Appliances,경기도 성남,https://kr.indeed.com/viewjob?jk=b102b3d8f193a4c1
[명지대학교 영재교육센터] STEAM(융합)교육 교사 (에이쳐),명지대학교 과학영재교육센터,용인 처인구,https://kr.indeed.com/viewjob?jk=b4be3857b0ecac58
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac
Data Scientist(CSS 모델링),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=3933762f9f06df56
[서울 본사] SW 개발 정규직,다스코포레이션,서울 구로구,https://kr.indeed.com/viewjob?jk=7196f1ad420e56a7
[진행중]우리은행 마이데이터ACT 전문직 (데이터 사이언티스트(데이터 분석가)) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/viewjob?jk=92a3c458d76803d2
[Clova CIC] AI/ML 개발 인턴사원,네이버,서울,https://kr.indeed.com/viewjob?jk=4910d33b5b470a5f
[진행중]우리은행 마이데이터ACT 전문직 (데이터 사이언티스트(데이터 기획자)) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/viewjob?jk=e1c3d69e4d47c07b
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국,https://kr.indeed.com/viewjob?jk=4adac8923476d038
Security Engineer (모의해킹/취약점 점검),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=241ae1e7499c461c
Python 웹 개발자 - 정규직,코리아뉴스와이어,서울 중구,https://kr.indeed.com/viewjob?jk=752101f0d5606a10
국내카드사 DW 개발/운영,제이엔커리어,서울 서초구,https://kr.indeed.com/viewjob?jk=5ba9459c73dec978
메시지발송 플랫폼 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=eaee1538d8cc832f
"웹개발, JSP 외 신입/경력 정규직",소명소프트,서울 송파구,https://kr.indeed.com/viewjob?jk=21d0361b8cb5fc07
Analytics Specialist,MightyHive,서울,https://kr.indeed.com/viewjob?jk=419692b3ddb34768
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9
Field AI Engineer,Graphcore,서울,https://kr.indeed.com/viewjob?jk=9e1861e691426a98
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
Data Analyst,Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=6a062e6906aadca2
데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=092d062a6faa7139
"Senior Fellow - Data Science, Marketing & Sales",McKinsey & Company,서울,https://kr.indeed.com/viewjob?jk=879e2eefd3c4914f
[국비무료/기숙사지원] 2021 혁신성장 빅데이터 분석가 양성 교육생,고려대학교 세종캠퍼스,세종특별자치시 세종,https://kr.indeed.com/viewjob?jk=c180958f6ef66e09
딥러닝 MLOps 백엔드 개발자,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/viewjob?jk=46dd50affe6c4d8d
Product Service Expert,Nova Measuring Instruments,경기도 화성,https://kr.indeed.com/viewjob?jk=11e4f0710d52e762
Investment Management Product Specialist,S&P Global,서울,https://kr.indeed.com/viewjob?jk=941734205319ad3c
동국대학교 데이터분석팀 연구원(계약직) 채용공고,동국대학교,서울 필동,https://kr.indeed.com/viewjob?jk=409c1253b2dde75b
데이터 엔지니어(신입/경력),쏘카,대한민국,https://kr.indeed.com/viewjob?jk=05aa5498d84c58e1
QA Engineer,KidsLoop,서울,https://kr.indeed.com/viewjob?jk=a0551b5024fc31cb
AI 분야 박사 신입/경력,LG CNS,서울특별시,https://kr.indeed.com/viewjob?jk=c8bf4fa58999927f
딥러닝 AI 개발 연구원,베이리스,성남 수정구,https://kr.indeed.com/viewjob?jk=87309d3ff40ead61
"빅데이터, 데이터사이언스 신입 정규직",이씨이십일알앤씨,서울 강남구,https://kr.indeed.com/viewjob?jk=32ad4f7f1252943c
PharmCADD 2021년 상반기 R&D센터 연구원 공개,팜캐드,서울 강남구,https://kr.indeed.com/viewjob?jk=0ff2c43b1e2621a5
전장 개발 엔지니어,가오콘,서울 강서구,https://kr.indeed.com/viewjob?jk=ee6d176505ffa343
2021년 3월 경력사원 (Data Scientist),세메스,천안 서북구,https://kr.indeed.com/viewjob?jk=280d977da0be5516
AI/딥러닝기반 머신비전 비전센터 상반기 공개,유토시스,경기도 화성,https://kr.indeed.com/viewjob?jk=5efc4afdac9d87aa
한화생명 플랫폼개발팀 개발자 경력채용,한화그룹,서울,https://kr.indeed.com/viewjob?jk=5015781911d160c4
NLP Researcher,AITRICS,서울,https://kr.indeed.com/viewjob?jk=3cf01580ba5eb23a
국방 IT사업 영상정보서비스 분야 경력사원 채용,한화그룹,서울,https://kr.indeed.com/viewjob?jk=b8fe9f1ce7c19eaf
"산업용 비전 처리 S/W 개발, AI 가속기 처리 S/W 개발 경력사원",여의시스템,성남 중원구,https://kr.indeed.com/viewjob?jk=08fbc3e510fbe320
2021년 3월 신입/경력,나이스피앤아이,서울 여의도,https://kr.indeed.com/viewjob?jk=011e6ca8a669f12e
[진행중]우리은행 AI사업부 전문직(인공지능(AI) 모델링) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/viewjob?jk=2054288dc83a5a88
BIM Manager,SYSTRA,서울,https://kr.indeed.com/viewjob?jk=112e58d399a83a19
Machine Learning Software Engineer - Embedded-AI-Framework,Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=b1376913a965e740
NLP Engineer for AI Startup (remote),MIND AI,서울,https://kr.indeed.com/viewjob?jk=a22173d071050949
Machine Learning Researcher – Audio and Speech,Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=aea07d26df8ae423
